nameWithOwner,folderName,url,createdAt,stargazerCount,releases,LOC,CBO,DIT,LCOM
Snailclimb/JavaGuide,JavaGuide,https://github.com/Snailclimb/JavaGuide,2018-05-07 13:27:00,132325,0,,,,
facebook/react-native,react-native,https://github.com/facebook/react-native,2015-01-09 18:10:16,108591,243,,,,
iluwatar/java-design-patterns,java-design-patterns,https://github.com/iluwatar/java-design-patterns,2014-08-09 16:45:18,80476,0,,,,
MisterBooo/LeetCodeAnimation,LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,2018-12-06 08:01:22,72677,0,,,,
doocs/advanced-java,advanced-java,https://github.com/doocs/advanced-java,2018-10-06 11:38:30,69309,1,,,,
spring-projects/spring-boot,spring-boot,https://github.com/spring-projects/spring-boot,2012-10-19 15:02:57,66336,166,,,,
macrozheng/mall,mall,https://github.com/macrozheng/mall,2018-04-04 01:11:44,64428,2,,,,
elastic/elasticsearch,elasticsearch,https://github.com/elastic/elasticsearch,2010-02-08 13:20:56,63171,108,,,,
GrowingGit/GitHub-Chinese-Top-Charts,GitHub-Chinese-Top-Charts,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,2019-09-05 03:01:56,60802,0,,,,
kdn251/interviews,interviews,https://github.com/kdn251/interviews,2017-02-14 18:19:25,59432,0,,,,
spring-projects/spring-framework,spring-framework,https://github.com/spring-projects/spring-framework,2010-12-08 04:04:45,51236,252,,,,
TheAlgorithms/Java,Java,https://github.com/TheAlgorithms/Java,2016-07-16 10:21:02,50882,0,,,,
google/guava,guava,https://github.com/google/guava,2014-05-29 16:23:17,47069,35,,,,
ReactiveX/RxJava,RxJava,https://github.com/ReactiveX/RxJava,2013-01-08 20:11:48,46882,231,,,,
square/retrofit,retrofit,https://github.com/square/retrofit,2010-09-06 21:39:43,41327,0,,,,
apache/dubbo,dubbo,https://github.com/apache/dubbo,2012-06-19 07:56:02,38639,79,,,,
NationalSecurityAgency/ghidra,ghidra,https://github.com/NationalSecurityAgency/ghidra,2019-03-01 03:27:48,38130,26,,,,
PhilJay/MPAndroidChart,MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,2014-04-25 14:29:47,36276,44,,,,
jeecgboot/jeecg-boot,jeecg-boot,https://github.com/jeecgboot/jeecg-boot,2018-11-26 10:40:00,34025,25,,,,
skylot/jadx,jadx,https://github.com/skylot/jadx,2013-03-18 17:08:21,33892,27,,,,
airbnb/lottie-android,lottie-android,https://github.com/airbnb/lottie-android,2016-10-06 22:42:42,33731,44,,,,
eugenp/tutorials,tutorials,https://github.com/eugenp/tutorials,2013-04-29 18:26:36,33724,0,,,,
